date,value
2013.128,62.2
2013.155,64.1
2013.182,65.5
2013.21,63.2
2013.232,60.6
2013.269,63.3
2013.291,59.9
2013.318,63
2013.345,63.6
2013.373,61.5
2013.4,60.2
2013.427,60.6
2013.454,60.1
2013.481,61.9
2013.508,60.4
2013.536,60.2
2013.563,62
2013.59,61.5
2013.617,56.7
2013.644,58.2
2013.668,59.6
2013.705,58.3
2013.726,59.4
2013.753,60.1
2013.78,60.2
2013.807,63.5
2013.834,64.8
2013.862,63.7
2013.889,62.3
2013.916,62.3
2013.943,59.3
2013.97,61.1
2013.997,62.7
2014.025,62.7
2014.052,63.6
2014.079,62.8
2014.106,64.2
2014.133,66.6
2014.16,66.7
2014.188,66.4
2014.215,65.5
2014.242,65
2014.269,64.6
2014.296,64.6
2014.323,62.1
2014.351,62.1
2014.378,62.3
2014.405,63.7
2014.432,63.5
2014.459,65
2014.486,66.4
2014.514,67.3
2014.541,67
2014.568,64.3
2014.595,66.5
2014.622,68
2014.649,68.1
2014.677,66.2
2014.704,66.7
2014.731,64
2014.758,65.9
2014.785,69.2
2014.812,68.6
2014.84,66.1
2014.867,65.7
2014.894,62.5
2014.921,64.7
2014.948,73.1
2014.976,69.8
2015.003,65.7
2015.03,69.4
2015.057,69.4
2015.084,72.2
2015.111,72.3
2015.138,75
2015.166,74.2
2015.193,72.6
2015.22,71.5
2015.247,73.2
2015.274,74.2
2015.301,74.1
2015.329,73.3
2015.356,71.8
2015.383,70.8
2015.41,73.8
2015.437,74.7
2015.464,76
2015.492,77.1
2015.519,75.1
2015.546,75.9
2015.573,76
2015.6,78.3
2015.627,75.9
2015.655,80.4
2015.682,80.5
2015.709,78.3
2015.736,78.8
2015.763,80.3
2015.79,81
2015.818,82.7
2015.845,79.4
2015.872,76
2015.899,79.2
2015.926,78.7
2015.953,77
2015.981,76.9
2016.008,73.7
2016.035,78.5
2016.062,82.5
2016.089,78.5
2016.116,81.6
2016.122,78.6
2016.143,77.9
2016.17,78.3
2016.195,77.2
2016.224,81
2016.252,79.4
2016.279,79.7
2016.306,78.2
2016.333,77.4
2016.36,76.8
2016.387,77.1
2016.414,80
2016.441,79.6
2016.468,80.9
2016.495,78.9
2016.522,77.9
